q_id,questions,answer,source,Faithfulness,Answer_Relevancy,Contextual_Precision,Contextual_Recall
1,未登記工廠申請納管的截止日期是哪一天？,根據參考文件內容，未登記工廠申請納管的截止日期為 **111 年 3 月 19 日**（申請期限為 109 年 3 月 20 日至 111 年 3 月 19 日止）。,3.pdf,1.0,1.0,1.0,1.0
2,新修正之不動產說明書應記載及不得記載事項，生效日期為何？,根據參考文件內容，新修正之不動產說明書應記載及不得記載事項，自中華民國 104 年 10 月 1 日生效。,4.png,1.0,1.0,1.0,1.0
3,進行注射劑目視檢查時，檢查點的最低照明亮度應維持在多少範圍？,根據參考文件內容，進行注射劑目視檢查時，檢查點的最低照明亮度應維持在 **2000～3750 勒克司**。,1.pdf,1.0,1.0,0.5,1.0
4,納管輔導金的計算方式中，廠地面積在300平方公尺以內應繳交多少金額？,根據參考文件內容，廠地面積在 300 平方公尺以內，應繳交 **2 萬元**。,3.pdf,1.0,1.0,0.5,1.0
5,不動產經紀人在不動產說明書上的簽章方式有何限制？,根據參考文件內容，不動產經紀人的簽章方式必須以「簽名」或「蓋章」之方式擇一為之，且**不得以電腦列印方式替代**。,4.png,1.0,1.0,1.0,1.0
6,依據中華藥典，檢查注射劑時在每個背景下應進行大約幾秒的檢查？,根據參考文件內容，並未提及在每個背景下應進行大約幾秒的檢查，因此查無相關資訊。,1.pdf,1.0,1.0,0.0,0.0
7,汽車修理業或倉庫是否可以辦理未登記工廠納管？,根據參考文件內容，不行。倉庫與汽車修理業皆不屬於工廠管理輔導法範疇，因此不能辦理納管。,3.pdf,1.0,1.0,1.0,1.0
8,不動產說明書是否必須指派不動產經紀人簽章？其目的為何？,"是的，經紀業應指派經紀人於不動產說明書簽章。

其目的在於：
1. 因買方簽訂要約書前，經紀業所提供之不動產說明書內容或資訊足以影響買方是否要約（購買）之決定。
2. 簽章可促使經紀人對不動產說明書內容履行注意及查證義務。
3. 對其記載事項表示負責，以供日後進行解說及交付義務。",4.png,1.0,1.0,1.0,1.0
9,關於注射劑檢查，何謂「內在」或「固有」粒子？,"根據參考文件內容，「內在」或「固有」粒子的定義與來源如下：

1. **定義**：指來自製程之內，且已知或預期與特定產品配方組成相關的粒子。其判定是基於粒子之物理化學性質特徵。
2. **內在粒子（Intrinsic particles）**：
   * **來源**：可能來自操作設備或直接包裝材料（例如：不鏽鋼、密封墊圈、包裝玻璃與彈性體、流體輸送管及矽氧烷潤滑劑）。
   * **安定性相關**：亦可能來自容器與封蓋之相互作用、藥品配方組成之變更（如不溶性之降解產物），或隨著時間推移之溫度敏感性。
3. **固有粒子（Inherent particles）**：
   * **物理形式**：依產品而異，包括溶液劑、懸液劑、乳劑及其他被設計為粒子組合體、聚集體之藥物遞送系統。
   * **生物製劑**：在生物製劑中，蛋白質粒子被認為是固有的。",1.pdf,0.8,1.0,0.833,1.0
10,申請特定工廠登記時，若要提出用電證明，須為哪個日期之前的證明文件？,根據參考文件內容，須為 **105 年 5 月 19 日前**之用電證明。,3.pdf,1.0,1.0,1.0,1.0
11,進行注射劑檢查時，應使用哪兩種顏色的背景？,根據參考文件內容，進行注射劑檢查時，應使用**黑色背景**和**白色背景**。,1.pdf,1.0,1.0,1.0,1.0
