q_id,questions,answer,Faithfulness,Answer_Relevancy,Contextual_Recall,Contextual_Precision,Contextual_Relevancy
1,我不想要紙本帳單了，想改用手機收簡訊看水費，要去哪裡登記？,"您好！您可以至本公司的「網路e櫃台」，依序點選「E帳單申辦」/「簡訊帳單」/「申請簡訊帳單」，經手機OTP認證後即申請成功。

申請成功後將不再寄送紙本帳單，並自當期或下期起改發送簡訊帳單，同時還能享有每期水費減免5元的優惠（優惠期限至114年12月止）喔！",1.0,1.0,1.0,1.0,0.364
2,家裡的水龍頭打開有一股像游泳池的味道，這是不是水質有問題？,"您好！自來水有輕微的消毒水味是正常現象，這表示水質衛生安全，請您放心。

為了避免發生水媒疾病，自來水在淨水處理時會加氯消毒，這對人體健康沒有影響。如果您對氣味較為敏感，可以在水燒開之後，開啟壺蓋再沸騰3至5分鐘，氯味就會散去了喔！",1.0,1.0,1.0,1.0,0.636
3,浴室地板看到紅色的線蟲在動，是自來水管裡面爬出來的嗎？會不會生病？,"您好！自來水在處理及輸送過程中，因有過濾、消毒並維持水壓，爬蟲等小動物是無法侵入供水管線的。紅蟲可能是從排水管爬上來，或蓄水塔不乾淨而滋生，建議定期清洗蓄水塔並加蓋上鎖。

至於接觸或喝到紅蟲會不會生病，目前資料中查無相關資訊。台水供應的自來水皆經嚴格檢驗，請您安心。",1.0,1.0,1.0,1.0,0.778
4,水費單已經過期幾天了，還可以直接去7-11繳錢嗎？還是要去水公司？,"您好！水費單過期幾天，在收費次月21日前，您依然可以持單直接到超商（如7-11）繳費喔！逾期7天內繳費免收遲延繳付費，第8天起則會依比例併入下期計收。

但如果已經超過代收期限，或超商無法繳費時，就必須請您持單至本公司當地的服務或營運所繳費了。",1.0,1.0,0.5,1.0,0.6
5,水龍頭流出來的水白白的像牛奶一樣，放一下又變透明，是不是有加什麼化學藥劑？,"您好！請您放心，這並不是因為添加了化學藥劑喔！

這是因為自來水管線在加壓送水，或為了維持壓力而吸入空氣時，會使水中混入大量氣泡，看起來才會呈現白濁的牛奶色。只要靜置一會兒，氣泡自然消失後就會變回清澈，這與水質沒有任何關係，請您安心使用！",1.0,1.0,1.0,1.0,0.583
6,我想同時收到Email的水費單和手機簡訊通知，系統說不行，為什麼？,您好！因為本公司實施無紙化帳單，目前提供的「電子帳單」與「簡訊帳單」兩種服務，用戶必須依自身需求「擇一」申請帳單寄送方式，因此無法同時申請這兩項服務喔！申請成功後，系統也將不再寄送紙本帳單。,1.0,0.8,1.0,1.0,0.222
7,新家廁所磁磚老是有粉紅色的污漬，是不是水不乾淨？,"您好！新房子使用初期，衛浴磁磚表面出現粉紅色水漬，可能是因為剛開始使用時，水塔及管線設備積水中的鐵氧化物較多，用水後積存在表面所致。

請您放心，這類鐵氧化物對水質安全無虞。通常在經過清洗並使用一段時間後，這種現象應該就會消除囉！",1.0,1.0,0.0,1.0,0.3
8,煮開水上面都會浮一層白白的東西，喝這種水會不會得腎結石啊？,您好！煮沸後出現的白色漂浮物是水中的硬度物質（俗稱石灰質），這屬於正常現象，飲用無礙健康。醫學研究指出，水質硬度與泌尿結石二者間「無直接關係」，對人體健康並無不良影響。台水公司供應的自來水均符合飲用水水質標準，請您安心飲用喔！,1.0,1.0,1.0,1.0,0.727
9,帳單上多了一筆污水處理費，我沒用下水道為什麼要收？,"您好！污水下水道使用費是「使用者付費」，只有完成接管並接用公共污水下水道者才需繳交。

若您確定住家污水管未接入卻被徵收，可向您所在的直轄市、縣(市)主管機關反映。主管機關會派專人會同現場確認，經確認後，即可檢附相關文件依程序向主管機關申請誤徵退費喔！",1.0,1.0,1.0,0.583,0.615
10,我的帳戶錢不夠導致水費沒扣到款，現在該怎麼補繳？,"您好！若您因存款不足扣款失敗，可透過以下方式補繳：

1. **自動補扣**：次月15日前補足存款，將於18日補扣。
2. **自行繳費**：
   * 線上信用卡、網路繳費或行動支付（如LINE Pay、街口）。
   * 當月底前持扣款不成功通知單至代收單位。
   * 至超商多媒體機輸入水號列印繳費。
   * 儘量於次月5日前至本公司各地服務（營運）所繳費。",0.833,1.0,1.0,1.0,0.727
